"student_id";"student_email-id";"student_name";"student_moble_number"
1;"veeresh@gmail.com";"Veeresh";9802221112
2;"shreyas@gmail.com";"Shreyas";9202449912
3;"abhijith@gmail.com";"Abhijith";9489480232
153;"ram@gmail.com";"ram";9800833932
202;"esh@gmail.com";"eshw";9870833932
203;"ramiia@gmail.com";"ramaii";9890833932
204;"eshr@gmail.com";"eshwr";0
205;"ramiria@gmail.com";"ramairi";9890833932
206;"mrinal@gmail.com";"mrinals";7829292920
207;"ramiri2a@gmail.com";"rama2iri";9890833932
208;"eshree@gmail.com";"eshwwwee2r";9870833932
209;"eshr556ee@gmail.com";"eshw454wwee2r";9870833932
252;"dfekf@gmail.com";"doeufj";673778322
253;"khisf@gmail.com";"khldj";7878783281
352;"ravi@gmail.com";"ravi";676786786876
353;"giri@gmail.com";"giri";76287363736
354;"pinky@gmail.com";"pinky";676786786876
